idx,n,w,sw,ln
2795,132,182428151.58333334,6675.185667101702,15.851156037057597
1475,110,111694638.98181818,6536.399964774237,16.338045770390284
9076,108,118301152.03703703,5892.982241329793,16.00904271923577
6953,108,189463874.64814815,6617.789943519918,15.831390596768328
9791,104,126953363.29807693,6267.731578516879,16.14056338566258
2168,104,117030770.51923077,6051.3321775756085,15.845082674033554
1409,102,172265641.49019608,6557.193463149794,15.802529032330241
89,100,265309330.17,8462.521168067866,16.405522852294553
3488,100,213882190.62,7211.621381978318,15.850099540898903
2113,98,403925590.5714286,9230.905225854882,16.399104344723686
6260,98,255388045.97959185,8472.924520929904,16.178671569758432
7646,98,236427015.7142857,7953.326904150845,16.122299459297796
8339,98,215448109.90816328,7192.872427855456,15.859063166567193
4874,96,192733268.27083334,6562.507308778692,15.791307012377835
9087,96,244107496.61458334,7235.698270085743,16.12489940763416
9725,94,237749703.5106383,7771.214612231604,15.971270361238822
2806,92,545975837.2391304,10571.470125853682,16.481578825397445
2861,92,187508754.11956522,7796.29787777621,16.397323695033666
782,92,137638155.9347826,6803.793217200257,16.264316509005774
7473,90,114972805.92222223,5937.309771219614,15.80736879412816
9779,90,191985194.3,5572.223654230034,15.622094018412211
8452,90,201893780.82222223,7312.693974896362,15.951792824344388
2270,88,195944240.29545453,6331.794312576862,15.780130471409603
9077,88,201443211.20454547,7007.864105679956,16.017542934133186
7657,88,422346408.5568182,10211.270057612886,16.661519268310077
8383,88,104656027.11363636,5937.929286776034,16.129740883691777
1522,88,193250042.2159091,7529.505329261211,16.06411900573272
6326,88,189443386.75,7231.96179403741,16.098699983337198
8394,86,281163630.26744187,8274.918475772993,16.361145039943334
9054,86,303463910.3023256,8323.099127192496,16.27492684003156
3554,84,294084102.4404762,8693.89981010117,16.348238160195933
8405,84,260756917.52380952,8434.455791129494,16.530706124832104
829,84,179940258.80952382,7093.094676002576,16.08192918361086
9043,84,501531360.1666667,11355.922486198444,16.799433793628157
6954,84,229289308.32142857,6670.074217127493,15.493898326536737
1476,84,231255478.45238096,7527.501375655813,16.18816594752466
5735,84,74625561.78571428,4709.5177215083095,15.522800349294366
9145,84,230453683.25,7653.600195754346,15.918163708156717
4987,84,191845277.82142857,7469.295671256294,16.225172823133434
7759,82,193964338.13414633,6763.605152524957,15.760587058000668
91,82,153446631.47560975,6441.814839117249,16.03708911048978
3490,82,120701751.32926829,6301.507881114962,16.092059008093955
2157,82,271716105.5487805,7361.449219483024,15.978220221094178
2146,82,125726989.34146342,6030.059991017961,15.981294889470831
2808,82,185907771.79268292,7793.315320933922,16.46808813656343
2862,82,319178866.8780488,9137.942977419172,16.43525098867371
2116,82,220399988.42682928,7163.022750703008,15.798366519493284
2114,82,268531532.63414633,8145.426518860977,16.080071037664652
4940,82,113648735.90243903,6424.47693242038,16.463895974363865
23,82,226370296.69512194,7921.9759312576,16.171935123117244
8463,82,164904918.42682928,6638.3913629976205,16.038509380010122
1420,82,437230001.402439,9867.92072373163,16.414899403764405
7668,82,252488099.3902439,7571.163996885024,16.154848682169312
5567,82,365347785.13414633,9029.027149174908,15.994101409315201
7066,82,197703572.8902439,7257.409196025351,16.097705255640154
2170,80,113552872.4875,5383.987048929257,15.747703493196061
9032,80,402795718.1125,10679.34201715284,16.601352919448413
5580,80,291306492.75,8895.604603383801,16.246144365499887
8341,80,54978576.7625,4442.720388744642,15.427715493212256
9055,80,305227509.8625,9465.293031116784,16.569978346750545
6967,80,248233316.5625,8021.247016704084,16.179456978525746
2849,80,212979836.4875,5746.354723270155,15.603815087007742
7019,80,333633075.425,9462.152484767666,16.542794059177098
2828,80,83744769.525,5299.364999592921,15.857671849064186
8350,80,435274406.475,9510.278214062046,16.377686636993282
2796,78,154326514.87179488,5878.599487280243,15.612453452449753
6273,78,186654647.67948717,7591.929960441056,16.325763861818157
5633,78,174115263.2820513,7392.249282654144,16.40693053275034
4896,78,432554682.64102566,9720.108575610268,16.36298981475285
2147,78,278162056.15384614,7362.518131572316,15.644953343320008
3543,78,477856647.51282054,10189.556775546751,16.455254949359915
7682,78,108400871.1923077,4908.994525560265,15.420143828093947
9793,78,182553073.12820512,6971.492474770163,16.14677802483173
9200,78,189306394.16666666,6089.150938558495,15.74606527952049
7647,78,113138069.61538461,5193.970990729336,15.679303730593064
6986,78,295406045.8717949,8294.92729850028,16.083640479547324
9065,78,174595925.30769232,7345.316172448141,16.25790582977057
1782,78,127505749.71794872,6806.171030644753,16.373074379111678
8384,76,104969289.82894737,5394.115299879064,15.7649940742594
9034,76,283447107.5263158,7833.246423014393,15.870929167489422
9156,76,207657880.0,7360.131042057886,16.102779683678854
9100,76,294251694.80263156,8799.426794734953,16.534344322075995
7712,76,285164366.30263156,9004.323254282559,16.6322208851176
6964,76,495269677.8815789,11786.460259309832,17.06557653613635
2807,76,191164279.5131579,7256.412718571503,16.238214113708274
1533,76,126583198.81578948,5948.429421768495,15.69939921745548
6965,76,272157570.0131579,8115.789306497718,15.999691240552002
2102,76,393391860.30263156,9826.049226084875,16.30003681186448
7658,76,203521330.36842105,7384.560115506684,16.17302248472363
4247,76,99986830.26315789,6357.599493079481,16.42278341169635
7660,76,171155188.5131579,6945.728867661263,16.01107653305788
9792,76,171872886.47368422,6815.39009944523,16.077039401446402
5611,76,157894775.97368422,6602.296332964973,16.07377081881715
9727,76,88358053.18421052,5271.1754781539585,15.64337930378072
9726,76,110308068.01315789,5326.257588033426,15.520458321796465
5578,76,523124303.5131579,11597.39811542428,16.922863413573577
8129,76,564912230.3815789,10257.977089847167,16.3723305805701
1544,76,192170962.71052632,5763.0433194734915,15.376396372188552
3524,76,151344588.85526314,6042.779602858065,15.633133535006182
2839,76,139098786.59210527,6297.70346850254,15.922939921434454
78,76,486878725.9736842,10192.994094152804,16.40921160866206
9780,76,275980135.55263156,7224.356016788498,15.963150829570706
8361,76,250808685.07894737,7254.887737003487,16.135074884347816
9033,74,277849340.1216216,8157.778781647544,16.168377603095212
7690,74,98254187.7027027,6340.12618623469,16.25834652381294
3499,74,451702741.6081081,9699.720248326963,16.404390135429527
729,74,194605781.3783784,7812.7310819053155,16.42647752724881
7770,74,171701154.5945946,6751.210057916318,16.105734286789097
9088,74,343849711.2702703,8039.573755114048,16.01227478768201
5680,74,219063887.2162162,7579.309952589367,16.137453770422177
4181,74,276463576.9324324,8689.030766565706,16.341838453502408
5568,74,231036353.2972973,6780.800503438982,15.609659116403
716,74,257840154.6216216,8369.428973389651,16.08309846025464
4195,74,230008078.5,8217.354047172368,16.214111545365952
4875,74,40748528.04054054,3770.087572469736,15.242571231848652
4885,74,509580438.7567568,11314.178291238975,16.85621528246458
9044,74,325968791.1621622,9706.363644791514,16.592002067947067
