word,pos,tag,desc
the,DET,DT,determiner
of,ADP,IN,"preposition or conjunction, subordinating"
and,CCONJ,CC,"conjunction, coordinating"
to,ADP,IN,"preposition or conjunction, subordinating"
in,ADP,IN,"preposition or conjunction, subordinating"
for,ADP,IN,"preposition or conjunction, subordinating"
is,AUX,VBZ,"verb, present tense, 3rd person singular"
on,ADP,IN,"preposition or conjunction, subordinating"
that,SCONJ,IN,"preposition or conjunction, subordinating"
by,ADP,IN,"preposition or conjunction, subordinating"
this,DET,DT,determiner
with,ADP,IN,"preposition or conjunction, subordinating"
you,PRON,PRP,"pronoun, personal"
it,PRON,PRP,"pronoun, personal"
not,PART,RB,adverb
or,CCONJ,CC,"conjunction, coordinating"
be,VERB,VB,"verb, base form"
are,AUX,VBP,"verb, present tense, not 3rd person singular"
from,ADP,IN,"preposition or conjunction, subordinating"
at,ADP,IN,"preposition or conjunction, subordinating"
as,ADP,IN,"preposition or conjunction, subordinating"
your,PRON,PRP$,"pronoun, possessive"
all,DET,DT,determiner
have,VERB,VBP,"verb, present tense, not 3rd person singular"
new,ADJ,JJ,"adjective or numeral, ordinal"
more,ADV,RBR,"adverb, comparative"
an,DET,DT,determiner
was,AUX,VBD,"verb, past tense"
we,PRON,PRP,"pronoun, personal"
will,AUX,MD,modal auxiliary
home,NOUN,NN,"noun, common, singular or mass"
can,AUX,MD,modal auxiliary
us,PRON,PRP,"pronoun, personal"
about,ADP,IN,"preposition or conjunction, subordinating"
if,SCONJ,IN,"preposition or conjunction, subordinating"
page,NOUN,NN,"noun, common, singular or mass"
my,PRON,PRP$,"pronoun, possessive"
has,VERB,VBZ,"verb, present tense, 3rd person singular"
search,VERB,VB,"verb, base form"
free,ADJ,JJ,"adjective or numeral, ordinal"
but,CCONJ,CC,"conjunction, coordinating"
our,PRON,PRP$,"pronoun, possessive"
one,NUM,CD,"numeral, cardinal"
other,ADJ,JJ,"adjective or numeral, ordinal"
do,VERB,VB,"verb, base form"
no,INTJ,UH,interjection
information,NOUN,NN,"noun, common, singular or mass"
time,NOUN,NN,"noun, common, singular or mass"
they,PRON,PRP,"pronoun, personal"
site,NOUN,NN,"noun, common, singular or mass"
he,PRON,PRP,"pronoun, personal"
up,ADP,RP,particle
may,AUX,MD,modal auxiliary
what,PRON,WP,WH-pronoun
which,DET,WDT,WH-determiner
their,PRON,PRP$,"pronoun, possessive"
news,NOUN,NN,"noun, common, singular or mass"
out,ADP,RP,particle
use,NOUN,NN,"noun, common, singular or mass"
any,DET,DT,determiner
there,ADV,RB,adverb
see,VERB,VB,"verb, base form"
only,ADV,RB,adverb
so,ADV,RB,adverb
his,PRON,PRP$,"pronoun, possessive"
when,ADV,WRB,Wh-adverb
contact,NOUN,NN,"noun, common, singular or mass"
here,ADV,RB,adverb
business,NOUN,NN,"noun, common, singular or mass"
who,PRON,WP,WH-pronoun
web,NOUN,NN,"noun, common, singular or mass"
also,ADV,RB,adverb
now,ADV,RB,adverb
help,VERB,VB,"verb, base form"
get,VERB,VB,"verb, base form"
view,NOUN,NN,"noun, common, singular or mass"
first,ADV,RB,adverb
am,AUX,VBP,"verb, present tense, not 3rd person singular"
been,VERB,VBN,"verb, past participle"
would,AUX,MD,modal auxiliary
how,ADV,WRB,Wh-adverb
were,AUX,VBD,"verb, past tense"
me,PRON,PRP,"pronoun, personal"
services,NOUN,NNS,"noun, common, plural"
some,DET,DT,determiner
these,DET,DT,determiner
click,VERB,VB,"verb, base form"
its,PRON,PRP$,"pronoun, possessive"
like,INTJ,UH,interjection
service,NOUN,NN,"noun, common, singular or mass"
than,SCONJ,IN,"preposition or conjunction, subordinating"
find,VERB,VB,"verb, base form"
price,NOUN,NN,"noun, common, singular or mass"
date,NOUN,NN,"noun, common, singular or mass"
back,ADV,RB,adverb
top,NOUN,NN,"noun, common, singular or mass"
people,NOUN,NNS,"noun, common, plural"
had,VERB,VBD,"verb, past tense"
list,NOUN,NN,"noun, common, singular or mass"
name,NOUN,NN,"noun, common, singular or mass"
just,ADV,RB,adverb
over,ADP,IN,"preposition or conjunction, subordinating"
state,NOUN,NN,"noun, common, singular or mass"
year,NOUN,NN,"noun, common, singular or mass"
day,NOUN,NN,"noun, common, singular or mass"
into,ADP,IN,"preposition or conjunction, subordinating"
email,NOUN,NN,"noun, common, singular or mass"
two,NUM,CD,"numeral, cardinal"
health,NOUN,NN,"noun, common, singular or mass"
world,NOUN,NN,"noun, common, singular or mass"
re,ADV,RB,adverb
next,ADP,IN,"preposition or conjunction, subordinating"
used,VERB,VBN,"verb, past participle"
go,VERB,VB,"verb, base form"
work,VERB,VB,"verb, base form"
last,ADJ,JJ,"adjective or numeral, ordinal"
most,ADV,RBS,"adverb, superlative"
